Title,Year,Type,Genres,Platform,Rating,Language
Ammayum Returns 87,2008,Movie,"Crime, Horror",Hulu,8.7,Malayalam
Journey to Returns 78,2009,Movie,"Drama, Comedy, Animation",Netflix,5.4,English
Puli Returns 18,2022,Movie,"Sci-Fi, Fantasy, Comedy",Amazon Prime,9.1,Tamil
Baahubali Evolution 18,2021,Movie,Mystery,Netflix,5.5,Telugu
Ammayum Forever 85,2008,TV Series,"Sci-Fi, History",SonyLIV,5.0,Malayalam
War for Forever 73,1997,Movie,Fantasy,Amazon Prime,9.2,English
Lost in Forever 65,2006,Movie,"Mystery, Horror, History",HBO Max,8.6,English
Ladhai Part 2 46,1992,TV Series,"Action, Horror, Comedy",Disney+,8.8,Marathi
Kantara Forever 37,2018,Movie,Comedy,Disney+,8.7,Kannada
Pulp Fiction,1994,Movie,"Crime, Drama",Theatrical,8.9,English
Nayakan Forever 57,1994,Movie,"Animation, Crime",Disney+,5.5,Tamil
Vikrama Evolution 77,1997,Movie,"History, Thriller",Apple TV+,7.3,Kannada
Kahaani Part 1 41,2019,Movie,"Mystery, History, Thriller",HBO Max,6.2,Hindi
Mauli Rebirth 1,1999,Movie,"Crime, Romance",Hulu,7.1,Marathi
Orma Chronicles 3,1998,TV Series,Horror,Netflix,7.0,Malayalam
Drishyam Chronicles 59,2008,TV Series,"Crime, Horror, Thriller",Disney+,8.7,Malayalam
Yuddham Chronicles 68,2021,TV Series,"Romance, Biography",Apple TV+,7.4,Telugu
Pranayam Returns 67,1999,TV Series,Crime,Netflix,4.4,Malayalam
Nayakudu Evolution 34,1996,Movie,"Sci-Fi, History, Romance",Apple TV+,9.3,Telugu
Katha Evolution 25,1995,Movie,"Horror, Action",Hulu,6.1,Marathi
Kahaani Returns 40,2020,TV Series,"Crime, Comedy",MX Player,4.6,Hindi
Nayakan Origin 11,2004,Movie,Biography,Apple TV+,6.4,Tamil
Secret Rebirth 39,2004,TV Series,"Crime, Comedy, Fantasy",Theatrical,7.4,English
Goshta Part 1 63,2023,Movie,"Action, Thriller",Theatrical,7.8,Marathi
Prem Rebirth 74,2019,Movie,Drama,Disney+,6.0,Hindi
War for Rebirth 16,2006,Movie,"Animation, Drama, Sci-Fi",Apple TV+,5.0,English
Pranayam Part 2 32,1997,TV Series,"Thriller, History, Fantasy",Netflix,9.5,Malayalam
Preethi Rebirth 40,1994,Movie,Animation,Theatrical,6.9,Kannada
Veedu Evolution 15,2001,Movie,"Biography, Comedy, Horror",Theatrical,7.1,Malayalam
Simham Story 97,2007,Movie,"Action, Drama",Planet Marathi,8.2,Telugu
Kahaani Part 1 55,2012,Movie,"Horror, Thriller",Apple TV+,6.3,Hindi
Achanum Part 1 12,1996,Movie,Sci-Fi,HBO Max,7.9,Malayalam
Yathra Story 76,2000,Movie,"Sci-Fi, Fantasy, Horror",Hulu,7.2,Malayalam
Yathra Evolution 58,1993,TV Series,Drama,Hulu,9.3,Malayalam
Mauli Origin 69,1998,TV Series,"Fantasy, Biography",MX Player,5.9,Marathi
Puli Forever 64,2025,Movie,"Mystery, Comedy",Amazon Prime,0.0,Tamil
Asuran Forever 34,2004,Movie,Horror,SonyLIV,5.0,Tamil
The Last Part 2 31,2019,TV Series,"Biography, History, Drama",MX Player,6.1,English
Nayak Legacy 6,2010,Movie,"Romance, History, Drama",SonyLIV,8.3,Kannada
Yaara Origin 34,2023,Movie,"Animation, Mystery, Comedy",Theatrical,8.1,Hindi
Vikrama Returns 5,2015,Movie,"Horror, Drama, Crime",Apple TV+,4.0,Kannada
Preethi Returns 82,1992,Movie,"Fantasy, Action, Biography",SonyLIV,8.3,Kannada
Safar Returns 75,2026,Movie,Biography,Planet Marathi,0.0,Hindi
Goshta Story 15,2023,Movie,"Mystery, Crime",SonyLIV,8.4,Marathi
Asuran Legacy 69,2014,Movie,Biography,SonyLIV,9.4,Tamil
Raju Evolution 87,1992,TV Series,"History, Comedy",Netflix,9.4,Telugu
Ammayum Origin 66,2009,TV Series,"Comedy, Animation, History",HBO Max,8.7,Malayalam
Raaz Evolution 86,2020,Movie,Comedy,HBO Max,6.2,Hindi
Snehithan Chronicles 60,1998,Movie,"Animation, Thriller",Apple TV+,6.0,Malayalam
Beyond the Returns 73,1996,Movie,"History, Animation, Horror",SonyLIV,4.8,English
K.G.F: Chapter 1,2018,Movie,"Action, Crime, Drama",Theatrical,8.2,Kannada
Simha Part 1 56,2001,Movie,Animation,Netflix,5.2,Kannada
KGF Returns 71,1992,TV Series,Thriller,Disney+,5.5,Kannada
Yuddham Part 2 70,2026,Movie,"Drama, Animation, Crime",MX Player,0.0,Telugu
Singam Part 2 29,2002,Movie,"Animation, Biography",Hulu,5.1,Tamil
Dharma Rebirth 70,2015,TV Series,Biography,Theatrical,7.8,Kannada
Snehithan Legacy 22,2024,Movie,"Action, Thriller, Comedy",Amazon Prime,6.8,Malayalam
Kadhal Part 1 47,2005,TV Series,"Drama, History, Sci-Fi",Netflix,5.6,Tamil
War for Returns 24,2004,Movie,"Horror, Crime",Apple TV+,9.1,English
Ladhai Chronicles 34,2023,Movie,"Action, Biography, History",HBO Max,8.0,Marathi
Goshta Rebirth 35,2012,TV Series,"Animation, Biography, Crime",Theatrical,7.1,Marathi
Katha Story 59,2004,TV Series,Horror,Apple TV+,6.1,Marathi
Raaz Forever 40,2015,TV Series,"Drama, Crime, Mystery",Netflix,8.2,Hindi
Pranayam Rebirth 92,2003,Movie,"Fantasy, Sci-Fi",Planet Marathi,7.9,Malayalam
Ladhai Part 1 80,2017,TV Series,"Thriller, Animation, Horror",Hulu,6.8,Marathi
Secret Evolution 13,2022,Movie,Crime,Amazon Prime,5.0,English
Prema Part 1 58,2012,TV Series,"Biography, Drama",Theatrical,6.0,Telugu
Asuran Forever 99,2007,Movie,History,Planet Marathi,5.5,Tamil
Vat Story 30,2007,TV Series,"Thriller, Mystery, Romance",HBO Max,4.5,Marathi
Achanum Returns 26,2000,TV Series,"History, Crime, Comedy",Planet Marathi,6.3,Malayalam
Legacy of Legacy 30,1997,TV Series,"Animation, Crime, Horror",SonyLIV,9.4,English
Sankranthi Legacy 8,2026,Movie,"Biography, Mystery",Hulu,0.0,Telugu
Dharma Forever 42,2021,TV Series,"Comedy, Animation, Action",Apple TV+,8.6,Kannada
Vikram Forever 27,2004,Movie,"Drama, Action, Biography",Theatrical,5.1,Telugu
Swapna Part 1 98,2013,TV Series,"Mystery, Drama",Theatrical,9.4,Marathi
Shadow of Evolution 79,2000,Movie,Action,SonyLIV,7.1,English
Vikrama Evolution 53,2005,TV Series,"Crime, Animation, Biography",HBO Max,6.7,Kannada
Baba Forever 94,2013,Movie,"History, Thriller, Romance",HBO Max,6.6,Marathi
Mauli Forever 86,2014,Movie,Romance,Apple TV+,8.7,Marathi
Nayakudu Story 12,2009,TV Series,"Biography, Drama, Horror",Apple TV+,7.1,Telugu
Zindagi Legacy 68,1993,Movie,"Crime, Drama",Disney+,5.7,Hindi
Yuddha Part 2 6,2016,Movie,"History, Sci-Fi, Animation",HBO Max,7.2,Kannada
Legacy of Part 2 6,2008,TV Series,Animation,SonyLIV,8.4,English
Anbu Story 25,2014,Movie,Fantasy,Amazon Prime,8.7,Tamil
Goshta Returns 6,2011,TV Series,"Comedy, Horror, Romance",Hulu,6.1,Marathi
Vikrama Part 2 32,2016,Movie,Thriller,Netflix,4.6,Kannada
Yuddham Origin 72,1999,Movie,Animation,Theatrical,6.3,Telugu
Dharma Returns 48,1997,TV Series,"Biography, Romance, Comedy",HBO Max,7.0,Telugu
Vetrimaran Part 1 59,2006,Movie,Thriller,Theatrical,6.0,Tamil
Ladhai Chronicles 67,2010,Movie,"Horror, Sci-Fi, Romance",HBO Max,5.9,Marathi
Katha Returns 13,2011,TV Series,"Thriller, Sci-Fi",HBO Max,9.4,Malayalam
Baahubali Story 63,2014,TV Series,"Comedy, Biography, Action",MX Player,4.3,Telugu
Prem Origin 57,2001,TV Series,Comedy,Theatrical,5.0,Hindi
Dharma Part 2 87,2021,Movie,"Sci-Fi, Thriller",SonyLIV,8.7,Telugu
Sankranti Forever 100,2008,TV Series,Comedy,SonyLIV,4.9,Kannada
Lost in Part 2 95,2012,Movie,"Action, Biography, Romance",Netflix,6.8,English
Premam Part 1 89,1999,Movie,Horror,Disney+,8.4,Malayalam
Ladhai Legacy 3,2012,Movie,"Drama, Comedy, Crime",Hulu,4.9,Marathi
Apna Origin 86,1999,Movie,"History, Mystery",Disney+,6.6,Hindi
Singam Rebirth 15,2001,TV Series,"Crime, History, Horror",Planet Marathi,4.1,Tamil
Yuddham Story 93,1990,TV Series,"Horror, Crime, Sci-Fi",HBO Max,4.1,Telugu
Aai Part 1 86,2001,TV Series,"Drama, History",Hulu,8.1,Marathi
Kahaani Rebirth 5,1994,Movie,"Horror, Crime",Hulu,7.2,Hindi
Baba Evolution 53,2001,TV Series,Action,Hulu,7.1,Marathi
Nayakudu Story 94,2018,TV Series,Animation,Hulu,6.3,Telugu
War for Legacy 46,1992,Movie,"Biography, Comedy, Romance",SonyLIV,8.2,English
Premam Rebirth 13,2015,Movie,"Thriller, Drama, Horror",SonyLIV,8.6,Malayalam
Veedu Part 1 59,2013,TV Series,"Biography, History, Crime",Amazon Prime,9.2,Malayalam
Yuddha Legacy 54,2000,TV Series,"Comedy, Sci-Fi",MX Player,6.9,Kannada
Yathra Part 1 73,2003,Movie,"Action, Mystery",Netflix,9.4,Malayalam
Dil Part 1 80,2025,Movie,Comedy,Netflix,0.0,Hindi
Empire of Legacy 31,1991,Movie,Romance,Theatrical,5.4,English
Aai Legacy 26,2013,TV Series,"Thriller, Action",Disney+,8.5,Marathi
The Last Part 2 71,1991,Movie,"Horror, Thriller",Disney+,5.6,English
Vetrimaran Origin 20,2006,TV Series,"Animation, Horror, Romance",Apple TV+,7.8,Tamil
Journey to Origin 80,1995,TV Series,"Thriller, Fantasy, Horror",MX Player,4.6,English
Asuran Returns 88,2023,TV Series,"Fantasy, Drama, Crime",Disney+,7.3,Tamil
Singam Part 1 61,1991,Movie,"Drama, Romance",Amazon Prime,7.0,Tamil
Premam Legacy 2,1990,TV Series,Fantasy,Netflix,9.2,Malayalam
Snehithan Part 1 97,2004,Movie,"Drama, Horror",Theatrical,8.2,Malayalam
Veeram Rebirth 99,1998,Movie,"History, Biography",Apple TV+,4.4,Tamil
Raja Legacy 17,2016,TV Series,Animation,Disney+,4.4,Kannada
Dharma Forever 21,1994,TV Series,Thriller,MX Player,5.3,Telugu
Pushpa Part 2 25,2012,Movie,Comedy,SonyLIV,7.1,Telugu
Singam Origin 36,2006,TV Series,"Horror, Mystery, History",HBO Max,8.6,Tamil
Anbu Story 87,2018,Movie,"Romance, Sci-Fi",MX Player,4.3,Tamil
Raja Returns 66,2013,TV Series,Horror,Netflix,9.2,Kannada
Empire of Returns 24,1992,Movie,"History, Fantasy, Sci-Fi",Hulu,5.1,English
Mauli Story 15,2011,TV Series,"Comedy, Romance, Drama",Theatrical,5.6,Marathi
Vikrama Returns 45,2004,Movie,Fantasy,SonyLIV,7.7,Kannada
Simha Legacy 40,1991,TV Series,"Horror, Biography",Netflix,8.8,Kannada
Orma Chronicles 14,1992,Movie,"Fantasy, Mystery",Hulu,7.0,Malayalam
Nayak Legacy 4,1996,Movie,"Sci-Fi, History, Crime",SonyLIV,8.2,Kannada
Dil Legacy 37,1998,Movie,"Drama, Fantasy",MX Player,7.6,Hindi
Baahubali Returns 93,2002,Movie,Comedy,HBO Max,5.1,Telugu
Ladhai Chronicles 76,2014,Movie,"Comedy, Thriller, Romance",Apple TV+,8.5,Marathi
Sarkar Rebirth 75,2009,Movie,Biography,Disney+,5.3,Tamil
Mauli Part 1 29,1991,TV Series,"History, Animation, Fantasy",MX Player,8.0,Marathi
Vat Part 2 22,1995,Movie,"History, Romance, Sci-Fi",MX Player,5.3,Marathi
Preethi Chronicles 40,2004,Movie,"Horror, Comedy, Fantasy",MX Player,5.8,Kannada
Goshta Legacy 70,2023,TV Series,History,Netflix,8.1,Marathi
Kahaani Chronicles 5,2006,Movie,Biography,SonyLIV,4.4,Hindi
Baahubali Evolution 35,2018,TV Series,"Drama, Sci-Fi",Netflix,8.6,Telugu
Dost Rebirth 11,1993,TV Series,"Animation, Drama, History",Hulu,6.5,Hindi
Jung Forever 41,1995,TV Series,Drama,Netflix,8.1,Hindi
Sarkar Rebirth 88,2016,TV Series,Comedy,HBO Max,4.3,Tamil
Katha Chronicles 16,2022,TV Series,"Horror, History, Animation",Hulu,8.2,Malayalam
Kahaani Forever 77,1991,TV Series,"Crime, Thriller",Netflix,4.6,Hindi
Nayak Story 73,2023,Movie,"Biography, Comedy",Amazon Prime,7.1,Kannada
Swapna Legacy 87,1999,TV Series,Comedy,Theatrical,7.9,Marathi
Shadow of Rebirth 65,1995,Movie,"Sci-Fi, Crime, Animation",Disney+,8.7,English
Veedu Legacy 80,2002,TV Series,"Animation, Biography",Amazon Prime,4.6,Malayalam
Rise of Chronicles 37,2015,TV Series,"History, Comedy",MX Player,8.1,English
Kahaani Story 76,1995,TV Series,"Sci-Fi, Thriller",SonyLIV,6.9,Hindi
Veeram Returns 57,2012,Movie,Thriller,Disney+,7.5,Tamil
Simha Chronicles 93,2007,Movie,"Biography, Comedy, Romance",Theatrical,8.3,Kannada
Apna Origin 6,2001,Movie,"Comedy, Horror",Apple TV+,4.9,Hindi
Prema Origin 83,2000,TV Series,"Drama, Romance, Horror",MX Player,5.3,Telugu
Katha Story 9,1991,TV Series,"Sci-Fi, Fantasy, Thriller",SonyLIV,7.4,Malayalam
Orma Chronicles 39,1992,TV Series,Mystery,Netflix,7.1,Malayalam
Baahubali Forever 98,2022,Movie,"Crime, Action",Apple TV+,5.2,Telugu
Vikram Part 1 29,1998,Movie,Drama,Amazon Prime,5.2,Telugu
Ammayum Part 1 99,1996,Movie,"Biography, Fantasy",Disney+,7.2,Malayalam
Asuran Forever 40,2006,Movie,Fantasy,Amazon Prime,4.9,Tamil
Apna Origin 21,2014,TV Series,Romance,Theatrical,9.2,Hindi
Snehithan Part 2 5,2016,TV Series,"Action, Biography, Thriller",HBO Max,5.0,Malayalam
Drishyam Forever 22,2016,Movie,"Comedy, History, Fantasy",Amazon Prime,6.8,Malayalam
Sairat,2016,Movie,"Drama, Romance",Theatrical,8.3,Marathi
Premachi Rebirth 8,2020,TV Series,History,SonyLIV,6.4,Marathi
Nayakudu Chronicles 78,2016,TV Series,"History, Drama, Sci-Fi",Netflix,5.3,Telugu
Dil Chronicles 73,1991,TV Series,"Drama, Animation, Crime",Disney+,8.6,Hindi
Premachi Returns 5,1990,Movie,"Thriller, Drama, History",HBO Max,7.4,Marathi
Yathra Part 2 51,2006,Movie,"Romance, Sci-Fi, History",MX Player,8.5,Malayalam
Orma Part 2 81,1994,TV Series,"Drama, Sci-Fi",MX Player,6.8,Malayalam
Aai Evolution 51,2006,TV Series,"History, Fantasy",Planet Marathi,7.5,Marathi
Kahaani Part 2 59,1996,TV Series,"Drama, Thriller",Hulu,7.1,Hindi
Secret Chronicles 49,1994,Movie,Romance,Netflix,6.8,English
Ladhai Chronicles 83,2017,TV Series,"Animation, Drama, Action",Theatrical,8.3,Marathi
War for Story 28,2022,Movie,Mystery,HBO Max,5.1,English
Dil Part 2 99,2007,Movie,Horror,Hulu,8.6,Hindi
Nayak Legacy 41,1995,TV Series,"Crime, Animation",Apple TV+,4.0,Kannada
Kahaani Rebirth 49,2000,TV Series,Crime,HBO Max,5.5,Hindi
Secret Rebirth 14,1995,TV Series,Crime,Netflix,5.8,English
Apna Story 26,2015,TV Series,Romance,SonyLIV,8.3,Hindi
Sarkar Part 1 4,2018,Movie,"Fantasy, Drama",Theatrical,8.2,Tamil
Goshta Part 2 20,1995,TV Series,Biography,Netflix,8.3,Marathi
Nayak Returns 23,2022,Movie,"History, Drama, Animation",Hulu,7.0,Kannada
The Last Rebirth 85,2011,TV Series,Mystery,Theatrical,8.7,English
Sankranti Story 5,2025,TV Series,"Mystery, Horror",Amazon Prime,0.0,Kannada
Jung Chronicles 63,2016,TV Series,"Sci-Fi, Drama",Theatrical,8.4,Hindi
Goshta Part 1 3,2016,Movie,Thriller,HBO Max,5.1,Marathi
Simha Forever 63,2018,Movie,Horror,Theatrical,5.1,Kannada
Yaara Part 1 61,2019,Movie,"Action, Thriller",Apple TV+,4.8,Hindi
Dost Rebirth 14,2026,Movie,"Horror, Animation, Mystery",Apple TV+,0.0,Hindi
Raja Forever 23,2012,TV Series,"Sci-Fi, Biography",HBO Max,7.4,Kannada
Sarkar Chronicles 24,2011,Movie,"Biography, Sci-Fi, Drama",Netflix,5.0,Tamil
Kadhal Rebirth 63,1994,Movie,"Fantasy, Action, History",Hulu,4.5,Tamil
Pranayam Evolution 23,2006,TV Series,Animation,SonyLIV,6.3,Malayalam
Anbu Rebirth 13,1991,TV Series,Mystery,HBO Max,5.8,Tamil
Nayakan Chronicles 51,1994,Movie,"Biography, Comedy, Mystery",Theatrical,6.0,Tamil
Vikram Forever 59,2004,Movie,"Fantasy, Romance",Apple TV+,8.3,Telugu
Yaara Forever 6,2019,Movie,Thriller,Amazon Prime,5.6,Hindi
Premam Story 21,2006,Movie,"Animation, Sci-Fi, Drama",MX Player,9.5,Malayalam
Ammayum Returns 15,2005,TV Series,"Action, History",Theatrical,5.4,Malayalam
Raaz Story 16,1999,TV Series,Comedy,Disney+,8.0,Hindi
Kantara Returns 66,2016,TV Series,Drama,Hulu,4.7,Kannada
Rise of Legacy 3,2008,Movie,"Crime, History, Fantasy",Apple TV+,7.8,English
Pranayam Returns 90,1994,Movie,"Mystery, Action, Horror",Apple TV+,4.1,Malayalam
Secret Rebirth 64,2018,TV Series,Drama,Netflix,6.5,English
Anbu Origin 47,2017,TV Series,"History, Horror",Apple TV+,8.7,Tamil
Mauli Chronicles 12,1990,Movie,"Thriller, Comedy",Theatrical,6.3,Marathi
Lost in Chronicles 38,2025,Movie,"Mystery, Horror, Romance",MX Player,0.0,English
Maitri Rebirth 7,1996,TV Series,"Action, Animation, Crime",Apple TV+,4.8,Marathi
Preethi Chronicles 91,2025,Movie,Animation,HBO Max,0.0,Kannada
Singam Part 1 88,2006,TV Series,"Drama, Sci-Fi",Netflix,7.7,Tamil
Kadhal Forever 25,2013,Movie,"Romance, Biography, Fantasy",MX Player,9.0,Tamil
Apna Rebirth 86,2010,Movie,History,MX Player,7.1,Hindi
Katha Legacy 91,1993,Movie,"Drama, Thriller",Amazon Prime,7.9,Malayalam
Dharma Rebirth 2,2024,TV Series,"History, Mystery, Crime",MX Player,9.1,Kannada
Apna Rebirth 6,2004,TV Series,"Fantasy, Crime",Disney+,5.7,Hindi
Singam Part 2 29,1991,TV Series,"Horror, Action, History",Theatrical,5.4,Tamil
Thalaiva Returns 48,2000,Movie,Fantasy,Planet Marathi,6.4,Tamil
Yaara Returns 16,1990,TV Series,"Comedy, Romance",Netflix,8.0,Hindi
Zindagi Chronicles 85,2012,TV Series,"Sci-Fi, Animation",Disney+,7.7,Hindi
Empire of Part 1 18,2014,Movie,"Romance, Thriller",SonyLIV,6.4,English
Premachi Forever 37,2018,Movie,"Animation, Thriller, Fantasy",Hulu,7.9,Marathi
Rise of Forever 19,2011,TV Series,"Crime, Horror",Planet Marathi,8.0,English
Thalaiva Story 31,2013,TV Series,"Horror, Action, Animation",Disney+,9.0,Tamil
Pushpa Evolution 38,2009,Movie,Horror,Planet Marathi,7.3,Telugu
Empire of Forever 40,2007,TV Series,Sci-Fi,MX Player,7.7,English
Simham Returns 95,2002,TV Series,"Horror, History",Netflix,4.7,Telugu
Kantara Origin 36,2019,TV Series,Thriller,Theatrical,4.2,Kannada
Yathra Story 91,2006,Movie,"Sci-Fi, Thriller, Drama",Disney+,8.7,Malayalam
Asuran Chronicles 79,2016,TV Series,"Biography, Horror, History",Hulu,7.5,Tamil
Nayak Forever 64,2012,TV Series,History,Hulu,9.0,Kannada
Katha Part 1 77,2004,TV Series,Romance,Theatrical,5.6,Malayalam
Puli Returns 20,1992,TV Series,"Fantasy, History, Horror",MX Player,8.1,Tamil
Sankranti Chronicles 17,2025,Movie,"Sci-Fi, Animation, Thriller",HBO Max,0.0,Kannada
Rise of Legacy 70,2026,Movie,"Sci-Fi, History",Hulu,0.0,English
Premachi Part 2 4,2019,Movie,Fantasy,HBO Max,7.6,Marathi
Swapna Returns 35,1991,Movie,"Action, History",MX Player,6.8,Marathi
Thalaiva Forever 76,2004,Movie,"Sci-Fi, Comedy",Theatrical,5.2,Tamil
Vat Chronicles 76,2004,TV Series,"Sci-Fi, Animation",HBO Max,5.7,Marathi
Baahubali Part 1 42,2011,TV Series,"Mystery, Crime, Animation",HBO Max,4.2,Telugu
Safar Part 1 44,1995,Movie,Comedy,Disney+,5.8,Hindi
Simham Story 28,2002,TV Series,"Crime, Horror, History",Amazon Prime,4.0,Telugu
Nayakudu Returns 18,1990,TV Series,"Drama, Crime",Planet Marathi,6.4,Telugu
Baba Part 1 11,2026,TV Series,"Sci-Fi, Drama, Crime",Netflix,0.0,Marathi
Preethi Evolution 74,2022,Movie,Horror,Amazon Prime,9.3,Kannada
Vikram Forever 81,2009,Movie,"Romance, Crime",Planet Marathi,9.1,Telugu
Yuddham Story 79,2017,Movie,Biography,Theatrical,8.2,Telugu
Yuddha Part 1 36,2001,Movie,Action,Planet Marathi,4.2,Kannada
Puli Forever 91,1994,TV Series,"Action, Crime",Planet Marathi,7.2,Tamil
Raju Returns 38,1995,TV Series,Thriller,Apple TV+,4.5,Telugu
Baba Legacy 32,2014,TV Series,"Comedy, Mystery",HBO Max,9.4,Marathi
Vat Rebirth 50,2021,Movie,"Sci-Fi, Comedy, Romance",MX Player,5.4,Marathi
Empire of Legacy 9,2010,TV Series,"Biography, Comedy",HBO Max,9.1,English
Yuddha Origin 33,2002,TV Series,"Crime, Drama",Disney+,8.7,Kannada
Dharma Story 89,1993,Movie,Biography,MX Player,5.2,Kannada
Sankranthi Evolution 77,2014,TV Series,Drama,Hulu,8.5,Telugu
Rise of Part 2 73,1999,Movie,Sci-Fi,Planet Marathi,5.1,English
Dharma Forever 11,1995,Movie,Drama,Netflix,4.2,Telugu
Dil Chronicles 9,2003,Movie,"Comedy, Thriller",Netflix,9.3,Hindi
Raja Story 3,2015,Movie,"Animation, Drama, Mystery",Apple TV+,6.8,Kannada
Orma Evolution 20,2024,TV Series,"Sci-Fi, Biography, Animation",Amazon Prime,8.8,Malayalam
Sankranti Story 62,1995,TV Series,Drama,Disney+,6.8,Kannada
Nayakudu Evolution 95,2003,Movie,"Comedy, Animation, Action",Theatrical,6.7,Telugu
Kadhal Evolution 87,2020,TV Series,Mystery,Apple TV+,6.4,Tamil
Rise of Returns 49,1996,Movie,"Sci-Fi, Comedy",Hulu,7.5,English
Anbu Chronicles 2,2014,Movie,"Crime, Thriller",HBO Max,6.2,Tamil
Goshta Forever 29,1998,TV Series,"Fantasy, Sci-Fi, Comedy",Planet Marathi,8.6,Marathi
Baba Part 2 52,1992,TV Series,"Fantasy, Romance",Netflix,7.9,Marathi
Raja Origin 61,1997,TV Series,"Fantasy, Crime, History",Disney+,8.3,Kannada
Achanum Forever 67,1992,Movie,"Animation, Sci-Fi, Drama",Apple TV+,5.2,Malayalam
Singam Story 85,2016,Movie,"Animation, Thriller",Amazon Prime,8.6,Tamil
Sankranti Forever 52,1993,TV Series,"Comedy, History, Animation",Planet Marathi,9.0,Kannada
Swapna Origin 53,1996,TV Series,"Drama, Horror",MX Player,6.0,Marathi
Aai Forever 52,2023,Movie,Horror,SonyLIV,8.0,Marathi
Sankranthi Legacy 25,1998,TV Series,"Comedy, Sci-Fi, Horror",Hulu,7.8,Telugu
Maitri Chronicles 60,2007,TV Series,"Fantasy, Action, Animation",Hulu,5.7,Marathi
Baahubali Rebirth 44,2022,Movie,"Thriller, Comedy, History",MX Player,4.7,Telugu
Vetrimaran Legacy 65,2008,TV Series,"Horror, Comedy, Drama",MX Player,6.5,Tamil
Katha Part 1 67,2019,Movie,"Horror, Romance",Theatrical,8.7,Marathi
KGF Part 2 82,2006,Movie,"Sci-Fi, Action, Comedy",Amazon Prime,7.9,Kannada
Pushpa Part 2 71,2007,TV Series,"Fantasy, Thriller",Apple TV+,4.7,Telugu
Nayak Origin 18,1998,Movie,"Fantasy, Crime, Comedy",Netflix,4.2,Kannada
Katha Evolution 50,2004,Movie,"Drama, Mystery, Thriller",SonyLIV,9.4,Malayalam
Dil Legacy 71,2016,TV Series,"Horror, History",Theatrical,5.8,Hindi
Veedu Forever 93,2019,Movie,History,Apple TV+,5.4,Malayalam
Premam Part 1 22,1995,TV Series,"Romance, Fantasy, History",SonyLIV,6.5,Malayalam
Ladhai Returns 87,1990,TV Series,"Action, Thriller, Biography",Theatrical,9.1,Marathi
Veeram Forever 56,2001,Movie,"Crime, Animation",Apple TV+,4.1,Tamil
Raaz Story 60,2016,TV Series,Action,Netflix,5.8,Hindi
Nayak Evolution 96,2015,TV Series,"Sci-Fi, Action, Romance",Netflix,5.8,Kannada
Maitri Forever 2,2020,Movie,"Fantasy, Animation",Theatrical,7.1,Marathi
Journey to Returns 85,2025,TV Series,"Thriller, Biography, Action",Amazon Prime,0.0,English
Simham Evolution 52,1994,TV Series,Thriller,Planet Marathi,7.0,Telugu
Veedu Origin 65,2001,TV Series,"Action, Romance, Mystery",Netflix,7.4,Malayalam
Vikrama Evolution 51,2023,TV Series,"Horror, Drama, Romance",Hulu,5.3,Kannada
Safar Part 1 61,2008,Movie,"History, Mystery",Theatrical,6.7,Hindi
Maitri Rebirth 64,2007,TV Series,History,Netflix,4.8,Marathi
Apna Story 13,2022,TV Series,"Thriller, Romance, Crime",HBO Max,7.3,Hindi
Katha Returns 82,2009,Movie,"Comedy, Biography",Amazon Prime,6.2,Marathi
Dharma Evolution 56,2017,TV Series,"History, Romance",Theatrical,8.0,Kannada
Journey to Part 1 20,1998,TV Series,Fantasy,Apple TV+,8.2,English
The Last Origin 88,2007,Movie,Drama,HBO Max,5.7,English
Beyond the Chronicles 53,2009,TV Series,"Horror, Thriller",Apple TV+,4.7,English
Prema Part 2 18,2022,Movie,"Romance, Horror",HBO Max,4.3,Telugu
Zindagi Forever 49,2020,Movie,"Sci-Fi, History",Theatrical,6.9,Hindi
Beyond the Evolution 45,2019,TV Series,Sci-Fi,Netflix,8.9,English
Dharma Rebirth 92,2001,Movie,Drama,HBO Max,5.2,Telugu
Baba Origin 60,2026,TV Series,Romance,Netflix,0.0,Marathi
Orma Legacy 20,1995,Movie,"Thriller, Action",SonyLIV,7.8,Malayalam
Pushpa Evolution 76,2025,TV Series,History,Planet Marathi,0.0,Telugu
Anbu Evolution 86,2020,Movie,"Romance, Action, Fantasy",HBO Max,8.8,Tamil
Nayakan Origin 11,1999,Movie,"Animation, History, Sci-Fi",Planet Marathi,4.9,Tamil
Beyond the Part 2 13,2011,Movie,"Romance, Crime, Comedy",Theatrical,6.5,English
Prema Chronicles 94,2009,TV Series,"Fantasy, Drama",Planet Marathi,5.5,Telugu
Vikram Returns 69,1999,Movie,History,Hulu,6.9,Telugu
Dost Chronicles 93,1992,TV Series,"Sci-Fi, History",Amazon Prime,8.5,Hindi
Aai Rebirth 26,2001,TV Series,Animation,Apple TV+,8.7,Marathi
Dharma Part 1 92,2002,Movie,Drama,HBO Max,8.4,Telugu
Raaz Part 1 8,2014,TV Series,Sci-Fi,MX Player,6.7,Hindi
Raja Rebirth 91,1996,TV Series,"Animation, Biography",Apple TV+,4.3,Kannada
Beyond the Origin 59,2014,TV Series,"Mystery, Comedy",Apple TV+,5.5,English
Yathra Returns 73,2021,Movie,Romance,Disney+,4.5,Malayalam
Apna Chronicles 6,2011,TV Series,"Mystery, Comedy",Theatrical,8.3,Hindi
